Prefix,Suffix,Index Band,Date,Year,Julian,Site,Shelf,Time,ID,Age,PAge,Sex,DNA SEX,DNASEX,Final Sex,Bleed,Feath,Mass 1,LWC,Rect,LP5,LP6,R Time,Temp,Time 2,Date 2,Site 2,Mass 2,Date 3,Site 3,Mass 3,Date 4,Site 4,Mass 4,LP1,LP2,LP3,LP4,LP5,LP6,LP7,LP8,LP9,LP10,RP1,RP2,RP3,RP4,RP5,RP6,RP7,RP8,RP9,RP10,Notes
1783,74362,1783-74362,9/2/2016,2016,246,1A,3,0:30,U,Y,Y,U,0,M,M,L,Y,54,128,61,98,105,1:04,7.5,0:34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1783,74375,1783-74375,9/3/2016,2016,247,2B,1,21:15,U,Y,Y,U,0,M,M,L,Y,59.1,128,62,98,107,21:34,,0:19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1783,74376,1783-74376,9/3/2016,2016,247,2B,,22:46,U,Y,Y,U,0,M,M,L,Y,50.4,128,59,94,101,23:06,10.5,0:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1783,74377,1783-74377,9/4/2016,2016,248,3A,2,20:30,U,Y,Y,U,0,F,F,L,Y,54.8,127,62,98,105,20:58,,0:28,9/10/2016,1B,54.5,,,,,,,,,,,,,,,,,,,,,,,,,,,Recaptured @2430 in upper net same night.
1783,74377,1783-74377,9/10/2016,2016,254,3B,2,0:45,F,Y,Y,U,0,F,F,N,N,54.5,125,59,97,103,0:56,5,0:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Banded 9/4/16 as HY on Barren, captured 2x"
1783,74378,1783-74378,9/4/2016,2016,248,3B,3,0:01,U,Y,Y,U,0,M,M,L,Y,51.5,125,59,97,103,0:21,7,0:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1783,74379,1783-74379,9/5/2016,2016,249,1A,3,21:30,U,Y,Y,U,0,M,M,L,Y,50.4,130,62,100,107,21:56,,0:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1783,74380,1783-74380,9/6/2016,2016,250,2B,1,21:30,U,Y,Y,U,0,F,F,L,Y,52.5,123,59,98,104,21:49,12.5,0:19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1783,74381,1783-74381,9/6/2016,2016,250,2A,1,23:00,U,Y,Y,U,F,#N/A,F,L,Y,56.6,130,64,98,105,23:16,10.5,0:16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1783,74390,1783-74390,8/22/2016,2016,235,3A,1,21:35,U,A,A,F,0,F,F,L,Y,57.9,121,43,93,78,22:29,,0:54,,,,,,,,,,1,1.5,1.5,3,3,M,M,M,0.5,0.5,1.5,1.5,3,3,3,M,M,M,0.5,0.5,Fresh bright pin feathers on breast
1783,74391,1783-74391,8/22/2016,2016,235,3B,1,0:02,U,Y,Y,U,0,M,M,L,Y,57.3,126,63,96,104,0:32,,0:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1783,74392,1783-74392,8/22/2016,2016,235,3,3,0:32,U,Y,Y,U,0,M,M,R,Y,45.4,126,64,95,104,1:01,,0:29,9/4/2016,3,52.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
